
 size= 100 ;  iter= 1 

 size= 100 ;  iter= 2 

 size= 100 ;  iter= 3 

 size= 100 ;  iter= 4 

 size= 100 ;  iter= 5 

 size= 100 ;  iter= 6 

 size= 100 ;  iter= 7 

 size= 100 ;  iter= 8 

 size= 100 ;  iter= 9 

 size= 100 ;  iter= 15 

 size= 100 ;  iter= 10 

 size= 100 ;  iter= 18 

 size= 100 ;  iter= 11 

 size= 100 ;  iter= 14 

 size= 100 ;  iter= 17 

 size= 100 ;  iter= 12 

 size= 100 ;  iter= 13 

 size= 100 ;  iter= 16 

 size= 100 ;  iter= 27 

 size= 100 ;  iter= 23 

 size= 100 ;  iter= 24 

 size= 100 ;  iter= 19 

 size= 100 ;  iter= 20 

 size= 100 ;  iter= 22 

 size= 100 ;  iter= 26 

 size= 100 ;  iter= 21 

 size= 100 ;  iter= 25 

 size= 100 ;  iter= 31 

 size= 100 ;  iter= 32 

 size= 100 ;  iter= 35 

 size= 100 ;  iter= 30 

 size= 100 ;  iter= 36 

 size= 100 ;  iter= 29 

 size= 100 ;  iter= 28 

 size= 100 ;  iter= 34 

 size= 100 ;  iter= 33 

 size= 100 ;  iter= 40 

 size= 100 ;  iter= 41 

 size= 100 ;  iter= 38 

 size= 100 ;  iter= 44 

 size= 100 ;  iter= 37 

 size= 100 ;  iter= 45 

 size= 100 ;  iter= 39 

 size= 100 ;  iter= 43 

 size= 100 ;  iter= 42 

 size= 100 ;  iter= 50 

 size= 100 ;  iter= 46 

 size= 100 ;  iter= 49 

 size= 100 ;  iter= 47 

 size= 100 ;  iter= 48 
